onakshatram_key,onakshatram_varsham,onakshatram_masam,onakshatram_paksham,onakshatram_nakshatram,onakshatram_ruthu,onakshatram_start_date,onakshatram_end_date,onakshatram_date_adv,onakshatram_start_hour,onakshatram_start_mins,onakshatram_end_hour,onakshatram_end_mins,onakshatram_duration,onakshatram_first_derivative
ASH,,,,ASH,,20251201,20251202,0,17,46,15,19,1293,0
BHA,,,,BHA,,20251202,20251203,0,15,19,12,28,1269,0
KRU,,,,KRU,,20251203,20251204,0,12,28,9,22,1254,0
ROH,,,,ROH,,20251204,20251205,0,9,22,6,14,1252,0
MRU,,,,MRU,,20251205,20251206,0,6,14,3,16,1262,0
AAR,,,,AAR,,20251206,20251207,0,3,16,0,41,1285,0
PUN,,,,PUN,,20251207,20251207,0,0,41,22,39,1318,0
PUS,,,,PUS,,20251207,20251208,0,22,39,21,20,1361,0
ASR,,,,ASR,,20251208,20251209,0,21,20,20,50,1410,0
MAG,,,,MAG,,20251209,20251210,0,20,50,21,12,1462,0
PPH,,,,PPH,,20251210,20251211,0,21,12,22,23,1511,0
UPH,,,,UPH,,20251211,20251213,0,22,23,0,18,1555,0
HAS,,,,HAS,,20251213,20251214,0,0,18,2,46,1588,0
CHI,,,,CHI,,20251214,20251215,0,2,46,5,36,1610,0
SWA,,,,SWA,,20251215,20251216,0,5,36,8,37,1621,0
VIS,,,,VIS,,20251216,20251217,0,8,37,11,39,1622,0
ANU,,,,ANU,,20251217,20251218,0,11,39,14,34,1615,0
JYE,,,,JYE,,20251218,20251219,0,14,34,17,19,1605,0
MUL,,,,MUL,,20251219,20251220,0,17,19,19,49,1590,0
PVS,,,,PVS,,20251220,20251221,0,19,49,22,3,1574,0
UAS,,,,UAS,,20251221,20251223,0,22,3,0,0,1557,0
SHR,,,,SHR,,20251223,20251224,0,0,0,1,35,1535,0
SVT,,,,SVT,,20251224,20251225,0,1,35,2,46,1511,0
STB,,,,STB,,20251225,20251226,0,2,46,3,28,1482,0
PPP,,,,PPP,,20251226,20251227,0,3,28,3,37,1449,0
UPP,,,,UPP,,20251227,20251228,0,3,37,3,11,1414,0
REV,,,,REV,,20251228,20251229,0,3,11,2,9,1378,0
ASH,,,,ASH,,20251229,20251230,0,2,9,0,32,1343,0
BHA,,,,BHA,,20251230,20251230,0,0,32,22,26,1314,0
KRU,,,,KRU,,20251230,20251231,0,22,26,19,58,1292,0
ROH,,,,ROH,,20251231,20260101,0,19,58,17,16,1278,0
MRU,,,,MRU,,20260101,20260102,0,17,16,14,32,1276,0
AAR,,,,AAR,,20260102,20260103,0,14,32,11,56,1284,0
PUN,,,,PUN,,20260103,20260104,0,11,56,9,39,1303,0
PUS,,,,PUS,,20260104,20260105,0,9,39,7,53,1334,0
ASR,,,,ASR,,20260105,20260106,0,7,53,6,46,1373,0
MAG,,,,MAG,,20260106,20260107,0,6,46,6,24,1418,0
PPH,,,,PPH,,20260107,20260108,0,6,24,6,52,1468,0
UPH,,,,UPH,,20260108,20260109,0,6,52,8,9,1517,0
HAS,,,,HAS,,20260109,20260110,0,8,9,10,8,1559,0
CHI,,,,CHI,,20260110,20260111,0,10,8,12,40,1592,0
SWA,,,,SWA,,20260111,20260112,0,12,40,15,33,1613,0
VIS,,,,VIS,,20260112,20260113,0,15,33,18,34,1621,0
ANU,,,,ANU,,20260113,20260114,0,18,34,21,32,1618,0
JYE,,,,JYE,,20260114,20260116,0,21,32,0,16,1604,0
MUL,,,,MUL,,20260116,20260117,0,0,16,2,40,1584,0
PVS,,,,PVS,,20260117,20260118,0,2,40,4,42,1562,0
UAS,,,,UAS,,20260118,20260119,0,4,42,6,20,1538,0
SHR,,,,SHR,,20260119,20260120,0,6,20,7,35,1515,0
SVT,,,,SVT,,20260120,20260121,0,7,35,8,26,1491,0
STB,,,,STB,,20260121,20260122,0,8,26,8,55,1469,0
PPP,,,,PPP,,20260122,20260123,0,8,55,9,1,1446,0
UPP,,,,UPP,,20260123,20260124,0,9,1,8,44,1423,0
REV,,,,REV,,20260124,20260125,0,8,44,8,4,1400,0
ASH,,,,ASH,,20260125,20260126,0,8,4,7,1,1377,0
BHA,,,,BHA,,20260126,20260127,0,7,1,5,37,1356,0
KRU,,,,KRU,,20260127,20260128,0,5,37,3,55,1338,0
ROH,,,,ROH,,20260128,20260129,0,3,55,2,0,1325,0
MRU,,,,MRU,,20260129,20260129,0,2,0,23,58,1318,0
AAR,,,,AAR,,20260129,20260130,0,23,58,21,56,1318,0
PUN,,,,PUN,,20260130,20260131,0,21,56,20,2,1326,0
PUS,,,,PUS,,20260131,20260201,0,20,2,18,26,1344,0
ASR,,,,ASR,,20260201,20260202,0,18,26,17,16,1370,0
MAG,,,,MAG,,20260202,20260203,0,17,16,16,39,1403,0
PPH,,,,PPH,,20260203,20260204,0,16,39,16,41,1442,0
UPH,,,,UPH,,20260204,20260205,0,16,41,17,25,1484,0
HAS,,,,HAS,,20260205,20260206,0,17,25,18,52,1527,0
CHI,,,,CHI,,20260206,20260207,0,18,52,20,57,1565,0
SWA,,,,SWA,,20260207,20260208,0,20,57,23,31,1594,0
VIS,,,,VIS,,20260208,20260210,0,23,31,2,23,1612,0
ANU,,,,ANU,,20260210,20260211,0,2,23,5,21,1618,0
JYE,,,,JYE,,20260211,20260212,0,5,21,8,10,1609,0
MUL,,,,MUL,,20260212,20260213,0,8,10,10,41,1591,0
PVS,,,,PVS,,20260213,20260214,0,10,41,12,44,1563,0
UAS,,,,UAS,,20260214,20260215,0,12,44,14,17,1533,0
SHR,,,,SHR,,20260215,20260216,0,14,17,15,16,1499,0
SVT,,,,SVT,,20260216,20260217,0,15,16,15,44,1468,0
STB,,,,STB,,20260217,20260218,0,15,44,15,44,1440,0
PPP,,,,PPP,,20260218,20260219,0,15,44,15,20,1416,0
UPP,,,,UPP,,20260219,20260220,0,15,20,14,36,1396,0
REV,,,,REV,,20260220,20260221,0,14,36,13,35,1379,0
ASH,,,,ASH,,20260221,20260222,0,13,35,12,23,1368,0
BHA,,,,BHA,,20260222,20260223,0,12,23,11,2,1359,0
KRU,,,,KRU,,20260223,20260224,0,11,2,9,36,1354,0
ROH,,,,ROH,,20260224,20260225,0,9,36,8,7,1351,0
MRU,,,,MRU,,20260225,20260226,0,8,7,6,40,1353,0
AAR,,,,AAR,,20260226,20260227,0,6,40,5,17,1357,0
PUN,,,,PUN,,20260227,20260228,0,5,17,4,3,1366,0
PUS,,,,PUS,,20260228,20260301,0,4,3,3,3,1380,0
ASR,,,,ASR,,20260301,20260302,0,3,3,2,20,1397,0
MAG,,,,MAG,,20260302,20260303,0,2,20,2,0,1420,0
PPH,,,,PPH,,20260303,20260304,0,2,0,2,7,1447,0
UPH,,,,UPH,,20260304,20260305,0,2,7,2,46,1479,0
HAS,,,,HAS,,20260305,20260306,0,2,46,3,58,1512,0
CHI,,,,CHI,,20260306,20260307,0,3,58,5,44,1546,0
SWA,,,,SWA,,20260307,20260308,0,5,44,8,0,1576,0
VIS,,,,VIS,,20260308,20260309,0,8,0,10,40,1600,0